A28102_at	GABRA3
M32334_at	ICAM2
M32373_at	ARSB
M32402_at	P11
M32405_at	RPS15
M32578_at	No result found
M32879_s_at	CYP11B1
M32886_at	SRI
M33195_at	FCER1G
M33308_at	VCL
M33318_r_at	CYP2A6
M33336_at	PRKAR1A
M33374_at	NDUFB7
M33493_s_at	TPSAB1
M33521_at	BAT3
M33552_at	LSP1
M33600_f_at	HLA-DRB1
M33680_at	CD81
M33764_at	ODC1
M33772_s_at	TNNC2
M33882_at	MX1
M34079_at	PSMC3
M34181_at	PRKACB
M34192_at	IVD
M34276_at	PLG
M34309_at	ERBB3
M34338_s_at	SRM
M34353_s_at	ROS1
M34423_at	GLB1
M34455_at	IDO1
M34458_rna1_s_at	LMNB1
M34516_at	LOC91316
M34516_r_at	IGL@
M34539_at	FKBP1A
M34677_at	F8A1
M34715_at	PSG3
M34996_s_at	HLA-DQA1
M35878_at	IGFBP3
M35999_at	ITGB3
M36067_at	LIG1
M36072_at	RPL7A
M36118_s_at	GZMH
M36284_s_at	GYPC
M36341_at	ARF4
M36429_s_at	GNB2
M36430_s_at	GNB1
M36542_s_at	POU2F2
M37033_at	CD53
M37104_at	ATP5J
M37197_at	CEBPZ
M37238_s_at	PLCG2
M37245_at	CTLA4
M37400_at	GOT1
M37435_at	CSF1
M37583_at	H2AFZ
M37712_at	GPR125
M37721_at	PAM
M37766_at	CD48
M37984_rna1_at	TNNC1
M38449_s_at	TGFB1
M38591_at	S100A10
M38690_at	CD9
M54915_s_at	PIM1
M54951_at	NPPA
M54992_at	CD72
M55067_at	NCF1C
M55150_at	FAH
M55267_at	EVI2A
M55268_at	CSNK2A2
M55409_s_at	EEF1G
M55419_at	AMELY
M55422_at	ZNF117
M55531_at	SLC2A5
M55542_at	GBP1
M55543_at	GBP2
M55593_at	MMP2
M55621_at	MGAT1
M55682_s_at	MATN1
M55905_at	ME2
M55998_s_at	COL1A1
M57466_s_at	HLA-DPB1
M57567_at	ARF5
M57710_at	LGALS3
M57763_at	ARF6
M58028_at	UBA1
M58285_at	NCKAP1L
M58459_at	RPS4Y1
M58603_at	NFKB1
M59465_at	TNFAIP3
M59807_at	IL32
M60091_at	GALT
M60094_rna1_at	HIST1H1T
M60450_s_at	KCNA4
M60483_rna1_s_at	PPP2CA
M60527_at	DCK
M60751_at	HIST1H2BI
M60784_s_at	SNRPA
M60830_at	EVI2B
M60858_rna1_at	NCL
M60974_s_at	GADD45A
M61832_s_at	AHCY
M61906_at	PIK3R1
M61916_at	LAMB1
M62303_at	RARB
M62324_at	ARID5A
M62403_s_at	IGFBP4
M62505_at	C5AR1
M62628_s_at	IGHA1
M62762_at	ATP6V0C
M62810_at	TFAM
M62831_at	IER2
M63138_at	CTSD
M63167_at	AKT1
M63175_at	AMFR
M63180_at	TARS
M63262_at	ALOX5AP
M63379_at	CLU
M63391_rna1_at	DES
M63438_s_at	HLA-C
M63483_at	MATR3
M63488_at	RPA1
M63573_at	PPIB
M63835_at	FCGR1A
M63838_s_at	IFI16
M63928_at	CD27
M63959_at	LRPAP1
M64098_at	HDLBP
M64174_at	JAK1
M64269_s_at	CMA1
M64571_at	MAP4
M64590_at	GLDC
M64595_at	RAC2
M64673_at	HSF1
M64925_at	MPP1
M64929_at	PPP2R2A
M64992_at	PSMA1
M65214_s_at	TCF3
M65292_s_at	CFH
M67468_s_at	FMR1
M68520_at	CDK2
M68864_at	UBXN1
M68895_rna1_at	ADH6
M69039_at	C1QBP
M69043_at	NFKBIA
M69066_at	MSN
M69181_at	MYH10
M69197_xpt2_s_at	HP
M69203_s_at	No result found
M72885_rna1_s_at	G0S2
M74002_at	SFRS11
M74089_at	SLC25A46
M74093_at	CCNE1
M74509_s_at	No result found
M74524_at	UBE2A
M74719_at	TCF4
M75099_at	FKBP2
M75126_at	HK1
M75715_s_at	ETF1
M76378_at	CSRP1
M76665_at	HSD11B1
M77142_at	No result found
M77232_rna1_at	RPS6
M77349_at	TGFBI
M77698_at	YY1
M80244_at	SLC7A5
M80397_s_at	POLD1
M80563_at	S100A4
M81601_at	TCEA1
M81695_s_at	ITGAX
M81750_at	MNDA
M81757_at	RPS19
M81830_at	SSTR2
M82882_at	ELF1
M83088_at	PGM1
M83186_at	COX7A1
M83216_s_at	CALD1
M83308_at	COX6A2
M83664_at	HLA-DPB1
M83667_rna1_s_at	CEBPD
M83751_at	MANF
M83822_at	LRBA
M84332_at	ARF1
M84349_at	CD59
M84371_rna1_s_at	CD19
M84526_at	CFD
M84711_at	RPS3A
M84739_at	CALR
M85169_at	CYTH1
M85276_at	GNLY
M86400_at	YWHAZ
M86407_at	ACTN3
M86667_at	NAP1L1
M86737_at	SSRP1
M86752_at	STIP1
M87339_at	RFC4
M87434_at	OAS2
M87503_at	IRF9
M87789_s_at	IGHG1
M87860_at	LGALS2
M88108_at	No result found
M88458_at	KDELR2
M89957_at	CD79B
M90391_s_at	IL16
M90656_at	GCLC
M91196_at	IRF8
M91432_at	ACADM
M91438_at	SPINK2
M91585_at	BRPF1
M91670_at	UBE2S
M92287_at	CCND3
M92357_at	TNFAIP2
M92439_at	LRPPRC
M92642_at	COL16A1
M92843_s_at	ZFP36
M92934_at	CTGF
M93056_at	SERPINB1
M93425_at	PTPN12
M93651_at	SET
M94046_at	MAZ
M94151_at	CTNNA2
M94345_at	CAPG
M94362_at	LMNB2
M94556_at	SSBP1
M94630_at	HNRNPD
M94856_at	FABP5L7
M94880_f_at	HLA-A
M95178_at	ACTN1
M95585_s_at	HLF
M95610_at	COL9A2
M95623_cds1_at	HMBS
M95767_at	CTBS
M95787_at	TAGLN
M95936_s_at	AKT2
M96233_s_at	GSTM2
M96684_at	PURA
M96954_s_at	TIAL1
M96982_at	U2AF1
M96995_s_at	GRB2
M97287_at	SATB1
M97676_at	MSX1
M97796_s_at	ID2B
M97856_at	NASP
M97935_s_at	No result found
M97936_at	No result found
M98343_at	CTTN
M98539_at	PTGDS
M98776_rna1_at	KRT1
M98833_at	FLI1
M99435_at	TLE1
M99439_at	TLE4
S41458_at	PDE6B
S45630_at	CRYAB
S54005_s_at	TMSB10
S59049_at	RGS1
S60415_at	No result found
S65738_at	DSTN
S66427_at	ARID4A
S66431_at	KDM5A
S66896_at	SERPINB3
S67325_at	PCCB
S68271_s_at	CREM
S68805_at	GATM
S69115_at	NKG7
S69272_s_at	SERPINB6
S69370_s_at	PAX3
S69790_at	WASF3
S71043_rna1_s_at	No result found
S72008_at	SEPT7
S72024_s_at	EIF5A
S72493_s_at	KRT16
S73591_at	No result found
S73840_at	MYH2
S74017_at	No result found
S74221_at	IK
S74720_at	NR0B1
S75463_at	TUFM
S76617_at	BLK
S76638_at	NFKB2
S76853_s_at	No result found
S77393_at	KLF3
S77415_at	MC4R
S77582_at	No result found
S78187_at	CDC25B
S78693_f_at	CREB1
S78771_s_at	BRD2
S78873_s_at	RABIF
S79048_at	PRR4
S79873_s_at	LAMP2
S80267_s_at	SYK
S80335_at	ITGB7
S80343_at	RARS
S80437_s_at	FASN
S80562_at	CNN3
S81003_at	UBE2L3
S81083_cds1_at	ADD2
S81914_at	IER3
S82297_at	No result found
S82447_s_at	BLOC1S1
S82470_at	MBOAT7
S82471_s_at	SSX5
S83309_s_at	NR6A1
S83549_at	SLC9A2
S85655_at	PHB
U00115_at	BCL6
U00672_at	IL10RA
U00947_s_at	No result found
U01038_at	PLK1
U01062_at	ITPR3
U01160_at	TSPAN31
U01212_at	OMP
U01691_s_at	ANXA5
U01833_at	NUBP1
U02020_at	NAMPT
U02388_at	CYP4F2
U02493_at	NONO
U02556_at	DYNLT3
U02570_at	ARHGAP1
U03057_at	FSCN1
U03105_at	PNRC1
U03397_s_at	TNFRSF9
U03688_at	CYP1B1
U03851_at	CAPZA2
U03891_at	APOBEC3B
U03911_at	MSH2
U04209_at	MFAP1
U04285_s_at	LIPA
U04840_at	NOVA1
U05237_at	BPTF
U05255_at	GYPB
U05259_rna1_at	CD79A
U05340_at	CDC20
U05572_s_at	MAN2B1
U05681_s_at	BCL3
U05861_at	AKR1C1
U05875_at	IFNGR2
U06155_s_at	No result found
U06681_at	SIRPA
U06863_at	FSTL1
U07158_at	STX4
U07223_at	CHN2
U07225_at	P2RY2
U07231_at	GRSF1
U07418_at	MLH1
U07424_at	FARSA
U07550_at	HSPE1
U07620_at	MAPK10
U07802_at	ZFP36L2
U07804_s_at	TOP1
U07806_s_at	TOP1
U07857_at	SRP14
U08015_at	NFATC1
U08021_at	NNMT
U08377_at	SFRS8
U09117_at	PLCD1
U09196_at	POLD4
U09284_at	LIMS1
U09367_at	ZNF136
U09410_at	ZNF131
U09510_s_at	GARS
U09578_at	MAPKAPK3
U09579_at	CDKN1A
U09584_at	TMEM115
U09587_at	GARS
U09770_at	CRIP1
U09813_at	ATP5G3
U09820_s_at	LOC728849
U09825_at	TRIM26
U09860_at	PRSS7
U09953_at	RPL9
U10117_at	AIMP1
U10323_at	ILF2
U10324_at	ILF3
U10362_at	LMAN2
U10439_at	ADAR
U10485_at	LRMP
U10689_f_at	MAGEA5
U11037_at	SEL1L
U11090_at	ASMT
U11292_at	PSME3
U11791_at	CCNH
U11861_at	BUD31
U12255_at	FCGRT
U12404_at	RPL10A
U12424_s_at	GPD2
U12465_at	RPL35
U12535_at	EPS8
U12595_at	TRAP1
U13044_at	GABPA
U13045_at	GABPB1
U13061_rna1_at	SULT2A1
U13737_at	CASP3
U13991_at	TAF10
U14187_at	EFNA3
U14193_at	GTF2A2
U14394_at	TIMP3
U14518_at	CENPA
U14603_at	PTP4A2
U14747_at	VSNL1
U14910_at	RGR
U14970_at	RPS5
U14971_at	RPS9
U14972_at	RPS10
U15008_at	SNRPD2
U15009_at	SNRPD3
U15085_at	HLA-DMB
U15460_at	BATF
U15641_s_at	E2F4
U15642_s_at	E2F5
U15932_at	DUSP5
U16031_at	STAT6
U16126_at	GRIK2
U16127_at	GRIK3
U16306_at	VCAN
U16660_at	ECH1
U16799_s_at	ATP1B1
U17743_s_at	MAP2K4
U17886_at	SDHB
U17977_at	ATP6V0A1
U17989_at	STRN3
U18009_at	VAT1
U18062_at	TAF7
U18242_at	CAMLG
U18291_at	CDC16
U18300_at	DDB2
U18321_at	DAP3
U18985_at	TRDN
U18991_at	RPE65
U19107_rna1_at	MKRN3
U19142_at	GAGE1
U19247_rna1_s_at	IFNGR1
U19261_at	TRAF1
U19495_s_at	CXCL12
U19523_at	GCH1
U19713_s_at	AIF1
U19765_at	CNBP
U19796_at	MRPL28
U20158_at	LCP2
U20285_at	GPS1
U20350_at	CX3CR1
U20499_at	No result found
U20536_s_at	CASP6
U20647_at	ZBTB17
U20648_at	ZNF154
U20657_at	USP4
U20734_s_at	JUNB
U20758_rna1_at	SPP1
U20908_at	MUM1
U20979_at	CHAF1A
U20998_at	SRP9
U21090_at	POLD2
U21128_at	LUM
U21858_at	TAF9
U21931_at	FBP1
U22028_at	CYP2A13
U22028_r_at	CYP2A13
U22055_at	SND1
U22314_s_at	REST
U22322_s_at	FRK
U22431_s_at	HIF1A
U22662_at	NR1H3
U22680_at	No result found
U22815_at	PPFIA1
U22816_at	PPFIA1
U22970_rna1_s_at	IFI6
U23070_at	BAMBI
U23143_at	NDUFA4L2
U23752_at	SOX11
U23850_s_at	ITPR1
U23852_s_at	LCK
U23942_at	CYP51A1
U23946_at	RBM5
U24105_at	COPA
U24166_at	MAPRE1
U24169_at	AIMP2
U24183_s_at	PFKM
U24389_s_at	LOXL1
U24576_at	LMO4
U24577_at	PLA2G7
U24683_at	IGHG1
U24685_at	No result found
U24704_at	PSMD4
U25029_at	No result found
U25165_at	FXR1
U25182_at	PRDX4
U25435_at	CTCF
U25789_at	No result found
U25801_at	VAC14
U25826_at	TCF19
U25849_at	ACP1
U25956_at	SELPLG
U26173_s_at	NFIL3
U26174_at	GZMK
U26312_s_at	No result found
U26710_at	CBLB
U26727_at	CDKN2A
U27185_at	RARRES1
U27333_s_at	FUT6
U28014_at	CASP4
U28042_at	DDX10
U28150_at	ABCD2
U28249_at	FXYD3
U28251_cds2_at	ZNF169
U28386_at	KPNA2
U28686_at	RBM3
U28811_at	GLG1
U28831_at	ANKRD36B
U29171_at	CSNK1D
U29175_at	SMARCA4
U29343_at	HMMR
U29607_at	No result found
U29615_at	CHIT1
U29680_at	BCL2A1
U29953_rna1_at	SERPINF1
U30185_at	OPRL1
U30245_at	MNDA
U30246_at	SLC12A2
U30521_at	C5orf13
U30610_at	KLRD1
U30825_at	SFRS9
U30827_s_at	SFRS5
U30888_at	USP14
U30930_at	UGT8
U30999_at	ALCAM
U31099_at	PTGDR
U31383_at	GNG10
U31384_at	GNG11
U31501_at	FXR2
U31556_at	E2F5
U31628_at	IL15RA
U31799_at	SILV
U31814_at	HDAC2
U31875_at	DHRS2
U31929_s_at	NR0B1
U31930_at	DUT
U32331_at	DIRAS1
U32376_at	DLG2
U32439_at	RGS7
U32645_at	ELF4
U32849_at	NMI
U32944_at	DYNLL1
U33017_at	SLAMF1
U33052_s_at	PKN2
U33053_at	PKN1
U33147_at	SCGB2A2
U33267_at	GLRB
U33286_at	CSE1L
U33317_rna1_at	DEFA6
U33818_at	PABPC4
U33821_at	TAX1BP1
U33822_at	MAD1L1
U33837_at	LRP2
U33839_at	No result found
U33841_at	ATM
U33849_at	PCSK7
U33920_at	SATB1
U33921_at	RBM6
U34252_at	ALDH9A1
U34343_at	NDUFA12
U34877_at	BLVRA
U35048_at	TSC22D1
U35113_at	MTA1
U35451_at	CBX1
U35637_s_at	NEB
U35735_at	SLC14A1
U36448_at	CADPS
U36500_at	SP140
U36764_at	EIF3I
U36787_at	HCCS
U36922_at	FOXO1
U37012_at	CPSF1
U37022_rna1_at	CDK4
U37122_at	ADD3
U37146_at	NCOR2
U37283_at	MFAP5
U37352_at	PPP2R5C
U37426_at	KIF11
U37518_at	TNFSF10
U37529_at	TAC1
U37546_s_at	BIRC3
U37547_at	BIRC2
U37673_at	AP3B2
U37690_at	POLR2L
U38846_at	CCT4
U38964_s_at	PMS2L5
U39317_at	UBE2D2
U39318_at	UBE2D3
U39400_at	MRPL49
U39447_at	AOC3
U39657_at	MAP2K6
U39817_at	No result found
U40152_s_at	ORC1L
U40282_at	ILK
U40369_rna1_at	SAT1
U40462_at	IKZF1
U40571_at	SNTA1
U41060_at	No result found
U41371_at	SF3B2
U41387_at	DDX21
U41515_at	SHFM1
U41654_at	RRAGA
U41668_at	DGUOK
U42031_at	FKBP5
U42390_at	TRIO
U42412_at	PRKAG1
U43077_at	CDC37
U43185_s_at	STAT5A
U43279_at	No result found
U43286_at	LOC100131892
U43431_at	TOP3A
U43522_at	PTK2B
U43916_s_at	EMP1
U44754_at	SNAPC1
U44772_at	PPT1
U44839_at	USP11
U44975_at	KLF6
U45285_at	TCIRG1
U45328_s_at	UBE2I
U45878_s_at	BIRC3
U45976_at	PICALM
U46025_at	EIF3CL
U46499_at	MGST1
U46570_at	TTC1
U46692_rna1_at	CSTB
U46751_at	SQSTM1
U46767_at	CCL13
U46901_at	SNCA
U47077_at	PRKDC
U47101_at	ISCU
U47414_at	CCNG2
U47634_at	TUBB3
U47635_at	MTMR6
U47742_at	MYST3
U47927_at	USP5
U48263_at	PNOC
U48296_at	PTP4A1
U48697_at	No result found
U48707_at	PPP1R1A
U49188_at	SERINC3
U49278_at	RNPEP
U49352_at	DECR1
U49395_at	P2RX5
U49436_at	EIF5
U49516_at	HTR2C
U49785_at	DDT
U49835_s_at	CHI3L2
U49837_at	CSRP3
U49844_at	ATR
U49869_rna1_at	UBB
U49973_xpt1_at	No result found
U50079_s_at	HDAC1
U50196_at	ADK
U50523_at	ARPC2
U50527_s_at	N4BP2L1
U50534_at	FRY
U50535_at	N4BP2L2
U50648_s_at	EIF2AK2
U50733_at	DCTN2
U50743_at	FXYD2
U50939_at	NAE1
U50950_at	ORC3L
U51004_at	HINT1
U51010_s_at	NNMT
U51166_at	TDG
U51240_at	LAPTM5
U51334_at	TAF15
U51477_at	DGKZ
U51478_at	ATP1B3
U51586_at	PUF60
U51678_at	C11orf58
U52101_at	EMP3
U52112_rna5_at	RENBP
U52153_at	KCNJ6
U52154_at	KCNJ5
U52427_rna1_at	POLR2G
U52513_at	No result found
U52682_at	IRF4
U52828_s_at	CTNND2
U53003_at	C21orf33
U53209_at	TRA2A
U53445_at	FILIP1L
U53468_at	NDUFA5
U53830_at	IRF7
U54778_at	YWHAE
U54804_at	HAS2
U55206_at	GGH
U55936_at	No result found
U56402_s_at	SUPT5H
U56637_at	CAPZA1
U56814_at	DNASE1L3
U56833_at	VBP1
U57093_at	RAB27B
U57342_at	MLF2
U57650_at	INPP5D
U57721_at	KYNU
U57877_at	SDHC
U58046_s_at	EIF3A
U58048_at	CHMP1A
U58087_at	CUL1
U58089_at	CUL3
U58096_at	TSPY3
U58130_at	SLC12A1
U58331_at	SGCD
U58334_at	TP53BP2
U58516_at	MFGE8
U58682_at	RPS28
U59058_s_at	CRYBA1
U59286_at	CXCL11
U59302_at	No result found
U59309_at	FH
U59321_at	KDELR3
U59423_at	SMAD1
U59831_rna1_s_at	FOXD1
U59863_at	TANK
U59877_s_at	No result found
U59913_at	SMAD5
U59914_at	SMAD6
U60060_at	FEZ1
U60061_at	FEZ2
U60062_at	FEZ1
U60115_at	FHL1
U60644_at	PLD3
U60800_at	SEMA4D
U60873_at	NEAT1
U60975_at	SORL1
U61145_at	EZH2
U61234_at	TBCC
U61374_at	SRPX
U61397_s_at	SUMO1
U61734_s_at	TMED10
U62293_rna1_s_at	LIMK1
U62389_at	IDH1
U62962_at	EIF3E
U63743_at	KIF2C
U63842_at	NEUROG1
U64105_at	ARHGEF1
U64444_at	UFD1L
U64998_at	RNASE6
U65011_at	PRAME
U65406_rna4_at	KCNJ1
U65579_at	NDUFS8
U65785_at	HYOU1
U65928_at	COPS5
U66083_at	MAGEA9
U66464_at	MAP4K1
U66580_at	GPR21
U66615_at	SMARCC1
U66616_at	SMARCC2
U66711_rna1_s_at	LY6E
U66726_s_at	DAZL
U66879_at	BAD
U67122_s_at	SUMO1
U67171_at	SEPW1
U67615_at	LYST
U67963_at	MGLL
U68018_at	SMAD2
U68019_at	SMAD3
U68063_at	TRA2B
U68105_s_at	PABPC1
U68135_s_at	No result found
U68162_cds1_s_at	MPL
U68566_at	HAX1
U68723_at	FOXN3
U69126_s_at	No result found
U69546_at	CUGBP2
U69645_at	ZNF32
U70063_at	ASAH1
U70322_at	TNPO1
U70323_at	ATXN2
U70439_s_at	No result found
U70451_at	MYD88
U70660_at	ATOX1
U70671_at	ATXN2L
U70735_at	COPS6
U71207_at	EYA2
U71364_at	SERPINB9
U72066_at	RBBP8
U72342_at	PAFAH1B1
U72507_at	LPCAT3
U72511_at	PHB2
U72514_at	EMG1
U72621_at	No result found
U72649_at	BTG2
U72661_at	NINJ1
U72761_at	No result found
U72882_s_at	IFI35
U72935_cds3_s_at	LOC728849
U72936_s_at	LOC728849
U73167_cds5_at	C3orf45
U73304_rna1_at	CNR1
U73377_at	SHC1
U73379_at	UBE2C
U73477_s_at	ANP32A
U73514_at	HSD17B10
U73704_at	GLMN
U73737_at	MSH6
U73824_at	EIF4G2
U75362_at	USP13
U75370_at	POLRMT
U75679_at	SLBP
U75968_at	DDX11
U76366_s_at	TCOF1
U76421_at	ADARB1
U76638_at	BARD1
U76764_s_at	No result found
U76992_at	HTATSF1
U77180_at	CCL19
U77396_at	LITAF
U77413_at	OGT
U77456_at	NAP1L4
U77594_at	RARRES2
U77643_at	SECTM1
U77718_at	PNN
U77735_at	No result found
U77948_at	GTF2I
U78027_rna3_at	RPL36A
U78027_rna4_at	BTK
U78095_at	SPINT2
U78107_at	NAPG
U78190_rna1_at	GCHFR
U78521_at	AIP
U78525_at	EIF3B
U78678_at	TXN2
U79248_at	LOC339290
U79254_at	NARS
U79255_at	APBA2
U79267_at	No result found
U79287_at	PTOV1
U79291_at	PTPN11
U79294_at	PPAP2B
U79296_at	PDHX
U79300_at	No result found
U79301_at	No result found
U80040_at	ACO2
U81001_at	SNRPN
U81006_at	TM9SF2
U81375_at	SLC29A1
U81554_at	SRP72
U81556_at	CTDSP2
U81607_at	AKAP12
U82130_at	TSG101
U82279_at	LILRB1
U82818_at	UCP3
U82979_at	LILRB4
U83115_at	AIM1
U83117_at	SUMO1
U83171_at	CCL22
U83246_at	RBM12
U83461_at	SLC31A2
U83463_at	SDCBP
U83843_at	CCT7
U84573_at	PLOD2
U84720_at	RAE1
U85430_at	NFATC3
U85611_at	No result found
U85658_at	TFAP2C
U86136_at	TEP1
U86602_at	EBNA1BP2
U86782_at	PSMD14
U87459_at	CTAG1B
U88047_at	ARID3A
U88629_at	ELL2
U88726_at	SYMPK
U88964_at	ISG20
U89278_at	PHC2
U89336_cds1_at	GPSM3
U89505_at	RBM4
U89606_at	PDXK
U89922_s_at	LTB
U89942_at	LOXL2
U90313_at	GSTO1
U90426_at	DDX39
U90543_at	BTN2A1
U90546_at	BTN3A2
U90546_r_at	BTN3A2
U90547_at	TRIM38
U90551_at	HIST1H2AC
U90552_at	BTN3A1
U90552_s_at	BTN3A2
U90651_at	EED
U90878_at	PDLIM1
U90902_at	TIAM1
U90904_at	NIPA2
U90909_at	MAPK1IP1L
U90911_at	WIPF2
U90912_at	FAM190B
U90913_at	TAX1BP3
U90915_at	COX4I1
U90916_at	SORL1
U91316_at	ACOT7
U91327_at	CCT2
U91521_at	PEX12
U91903_at	FRZB
U91930_at	AP3D1
U91932_at	No result found
U93049_at	FYB
U93205_at	CLIC1
U94319_at	PSIP1
U94586_at	NDUFA4
U94592_at	UCP2
U94832_at	No result found
U94836_at	CHERP
U94855_at	EIF3F
U95040_at	TRIM28
U95626_rna3_at	CCR5
U95740_rna1_at	KIAA0430
U96094_at	SLN
U96781_cds1_at	ATP2A1
U96915_at	SAP18
U97105_at	DPYSL2
V00536_rna1_at	IFNG
V00563_at	IGHM
V00572_at	PGK1
V00594_at	MT1A
V00594_s_at	MT2A
V01512_rna1_at	No result found
V01516_f_at	KRT5
X00088_at	HIST1H2BJ
X00129_at	RBP4
X00351_f_at	ACTB
X00371_rna1_at	MB
X00437_s_at	No result found
X01060_at	TFRC
X01630_at	ASS1
X01677_f_at	GAPDH
X01703_at	TUBA1A
X02152_at	LDHA
X02317_at	SOD1
X02404_at	CALCB
X02419_rna1_s_at	PLAU
X02530_at	CXCL10
X02544_at	ORM1
X02596_at	BCR
X02761_s_at	FN1
X02874_at	OAS1
X02875_s_at	OAS1
X03066_at	HLA-DOB
X03068_f_at	HLA-DQB1
X03100_cds2_at	HLA-DPA1
X03342_at	RPL32
X03350_at	ADH1C
X03689_s_at	EEF1A1
X03934_at	CD3D
X04011_at	CYBB
X04085_rna1_at	CAT
X04106_at	CAPNS1
X04201_at	TPM3
X04325_at	GJB1
X04327_at	BPGM
X04347_s_at	HNRNPA1
X04366_at	CAPN1
X04412_at	GSN
X04470_s_at	SLPI
X04526_at	GNB1
X04602_s_at	IL6
X04654_s_at	SNRNP70
X04741_at	UCHL1
X05130_s_at	P4HB
X05276_at	TPM4
X05345_at	HARS
X05360_at	CDC2
X05409_at	ALDH2
X05610_at	COL4A2
X05855_at	H3F3A
X05855_s_at	H3F3A
X05908_at	ANXA1
X06256_at	ITGA5
X06268_at	COL2A1
X06272_at	SRPR
X06290_at	LPA
X06323_at	MRPL3
X06614_at	RARA
X06700_s_at	COL3A1
X06825_at	TPM2
X06956_at	TUBA4A
X06985_at	HMOX1
X07109_at	PRKCB
X07203_at	MS4A1
X07315_at	NUTF2
X07743_at	PLEK
X07767_at	PRKACA
X07834_at	SOD2
X07876_at	WNT2
X07948_at	TNP1
X07979_at	ITGB1
X12447_at	ALDOA
X12451_at	No result found
X12517_at	SNRPC
X12530_s_at	MS4A1
X12671_rna1_at	No result found
X12791_at	SRP19
X12953_at	RAB2A
X13100_s_at	MYH3
X13238_at	COX6C
X13293_at	MYBL2
X13334_at	CD14
X13482_at	SNRPA1
X13546_rna1_at	HMGN2
X13794_rna1_at	LDHB
X13810_s_at	POU2F2
X13839_at	ACTA2
X14008_rna1_f_at	LYZ
X14046_at	CD37
X14253_s_at	TDGF1
X14448_at	GLA
X14684_s_at	SSB
X14789_at	CRYAA
X14850_at	H2AFX
X15183_at	HSP90AA1
X15187_at	HSP90B1
X15331_s_at	PRPS1
X15341_at	COX6A1
X15414_at	AKR1B1
X15525_rna1_at	ACP2
X15573_at	PFKL
X15729_s_at	DDX5
X15822_at	COX7A2
X15880_at	COL6A1
X15882_at	COL6A2
X15940_at	RPL31
X15949_at	IRF2
X16316_at	VAV1
X16354_at	CEACAM1
X16396_at	MTHFD2
X16416_at	ABL1
X16504_s_at	ENO3
X16560_at	COX7C
X16663_at	HCLS1
X16832_at	CTSH
X17042_at	SRGN
X17093_at	HLA-F
X17254_at	GATA1
X17567_s_at	SNRPB
X17576_at	NCK1
X17620_at	NME1
X17644_s_at	GSPT1
X51345_at	JUNB
X51441_at	SAA1
X51441_s_at	SAA1
X51466_at	EEF2
X51521_at	EZR
X51688_at	CCNA2
X51698_s_at	TFF2
X51801_at	BMP7
X51823_at	F13B
X51956_rna1_at	ENO2
X51985_at	LAG3
X52022_at	COL6A3
X52056_at	SPI1
X52142_at	CTPS
X52425_at	IL4R
X52541_at	EGR1
X52773_at	RXRA
X52851_rna1_at	PPIA
X52882_at	TCP1
X52966_at	RPL35A
X52979_rna1_s_at	SNRPB
X53331_at	MGP
X53390_s_at	UBTF
X53416_at	FLNA
X53586_rna1_at	ITGA6
X53683_at	CCL4
X53742_at	FBLN1
X53777_at	No result found
X53793_at	PAICS
X53961_at	LTF
X54304_at	MYL12A
X54326_at	EPRS
X54457_s_at	CEL
X54637_at	TYK2
X54667_at	CST2
X54667_s_at	CST4
X54867_s_at	KLRC2
X54870_at	KLRK1
X54925_at	MMP1
X54941_at	CKS1B
X54942_at	CKS2
X55448_cds2_at	FAM3A
X55715_at	RPS3
X55733_at	EIF4B
X55954_at	RPL23
X56253_rna1_at	M6PR
X56468_at	YWHAQ
X56494_at	PKM2
X56681_s_at	JUND
X56807_at	DSC2
X56841_at	HLA-E
X56997_rna1_at	UBA52
X57025_at	IGF1
X57152_rna1_s_at	CSNK2B
X57206_at	ITPKB
X57346_at	YWHAB
X57351_at	IFITM2
X57351_s_at	IFITM1
X57398_at	NOMO1
X57522_at	TAP1
X57579_s_at	INHBA
X57809_s_at	IGL@
X57959_at	No result found
X58079_at	S100A1
X58399_at	LOC90925
X58521_at	NUP62
X58529_at	IGHM
X58987_at	DRD1
X59350_at	CD22
X59405_at	CD46
X59417_at	PSMA6
X59434_at	MPST
X59543_at	RRM1
X59618_at	RRM2
X59798_at	CCND1
X59812_at	CYP27A1
X59834_at	GLUL
X59871_at	TCF7
X59892_at	WARS
X59932_s_at	CSK
X60036_at	SLC25A3
X60221_at	ATP5F1
X60382_rna1_at	COL10A1
X60484_at	HIST1H4H
X60486_at	HIST1H4C
X60489_at	No result found
X60592_at	CD40
X60673_rna1_at	No result found
X60708_at	DPP4
X60955_s_at	TYRP1
X60992_at	CD6
X61070_at	No result found
X61118_rna1_at	LMO2
X61123_at	BTG1
X61587_at	RHOG
X61970_at	PSMA5
X62048_at	WEE1
X62055_at	PTPN6
X62078_at	GM2A
X62083_s_at	BRD2
X62153_s_at	MCM3
X62320_at	GRN
X62466_at	CD52
X62534_s_at	HMGB2
X62535_at	DGKA
X62654_rna1_at	CD63
X62691_at	RPS15A
X62744_at	HLA-DMA
X62822_at	ST6GAL1
X63097_at	RHD
X63380_at	LOC729991
X63422_at	ATP5D
X63468_at	GTF2E1
X63469_at	GTF2E2
X63527_at	RPL19
X63679_at	TRAM1
X63692_at	DNMT1
X63753_at	SON
X63759_at	TNP2
