A28102_at	GABRA3
D42084_at	METAP1
D42085_at	NUP93
D42087_at	RAB21
D43638_at	RUNX1T1
D43767_at	CCL17
D43947_at	KIAA0100
D43948_at	CKAP5
D43950_at	CCT5
D43951_at	PUM1
D44466_at	PSMD1
D45132_at	PRDM2
D45248_at	PSME2
D45371_at	ADIPOQ
D45399_at	PDE6H
D45906_at	LIMK2
D45917_s_at	TIMP3
D49387_at	PTGR1
D49394_at	HTR3A
D49396_at	PRDX3
D49400_at	ATP6V1F
D49489_at	PDIA6
D49677_at	ZRSR2
D49738_at	TBCB
D49950_at	IL18
D49958_at	GPM6A
D50063_at	PSMD7
D50310_at	CCNI
D50405_at	HDAC1
D50640_at	PDE3B
D50663_at	DYNLT1
D50683_at	TGFBR2
D50810_at	LNPEP
D50840_at	UGCG
D50911_at	VGLL4
D50912_at	RBM10
D50914_at	BOP1
D50915_at	KIAA0125
D50916_at	UBE4A
D50917_at	SERTAD2
D50918_at	SEPT6
D50925_at	PASK
D50926_at	MORC3
D50927_at	TLK1
D50930_at	FAM53B
D55654_at	MDH1
D55696_at	No result found
D55716_at	MCM7
D61380_at	PARK7
D63475_at	AP2M1
D63476_at	ARHGEF7
D63477_at	EFR3A
D63478_at	UBAP2L
D63479_s_at	DGKD
D63481_at	SCRIB
D63483_at	SCARF1
D63506_at	STXBP3
D63813_at	CLUL1
D63874_at	HMGB1
D63875_at	No result found
D63876_at	GGA3
D63878_at	No result found
D63879_at	SART3
D63880_at	LOC96610
D63881_at	SUZ12
D63998_at	MAN2A1
D64108_at	DMC1
D64109_at	No result found
D64110_at	BTG3
D64142_at	H1FX
D64154_at	ADRM1
D64159_at	CCDC88A
D67029_at	SEC14L1
D76444_at	RNF103
D78011_at	DPYS
D78014_at	DPYSL3
D78129_at	SQLE
D78132_s_at	RHEB
D78134_at	CIRBP
D78151_at	PSMD2
D78156_at	RASA2
D78275_at	PSMC6
D78514_at	No result found
D78577_s_at	YWHAH
D78586_at	CAD
D78611_at	MEST
D79206_s_at	SDC4
D79986_at	BCLAF1
D79987_at	ESPL1
D79988_at	KNTC1
D79990_at	RASSF2
D79991_at	NUP188
D79993_at	No result found
D79994_at	KANK1
D79995_at	TTLL4
D79996_at	KIAA0174
D79997_at	MELK
D79999_at	PARP4
D80000_at	SMC1A
D80001_at	RRP1B
D80002_at	POFUT1
D80004_at	KIAA0182
D80005_at	FAM120A
D80006_at	MOBKL1B
D80008_at	GINS1
D80009_at	BMS1
D80010_at	LPIN1
D80012_at	USP10
D82348_at	ATIC
D83004_at	UBE2N
D83018_at	NELL2
D83032_at	ZNF638
D83174_s_at	SERPINH1
D83243_at	NPAT
D83260_s_at	FAM50A
D83407_at	RCAN2
D83597_at	CD180
D83735_at	CNN2
D83777_at	SCRN1
D83782_at	SCAP
D83783_at	MED12
D84276_at	CD38
D84294_at	TTC3
D84557_at	MCM6
D85429_at	DNAJB1
D85433_at	COMMD1
D85758_at	ERH
D85939_at	CFDP1
D86425_at	NID2
D86479_at	AEBP1
D86550_at	DYRK1A
D86956_at	HSPH1
D86957_at	SEPT8
D86959_at	SLK
D86960_at	LPGAT1
D86961_at	LHFPL2
D86962_at	GRB10
D86964_at	DOCK2
D86967_at	EDEM1
D86968_at	MAP3K4
D86969_at	PHF16
D86971_at	LARP4B
D86972_at	TATDN2
D86973_at	GCN1L1
D86974_at	No result found
D86976_at	HMHA1
D86978_at	NUP205
D86979_at	KIAA0226
D86985_at	KIAA0232
D86988_at	UPF1
D87011_at	ZNF280A
D87024_at	IGL@
D87075_at	SLC23A2
D87076_at	PHF15
